CodObr,CodPar,NumPar,CodIns,CanIns,CosIns,Deprec,CodFam,Contad,CodAlt
"576PDVS2","P0000035",1,"EQUI0028",1.0000000000000000e+00,5.0000000000000000e+01,1.0000000000000000e-03,"00",74834,
"576PDVS2","P0000035",1,"EQUI0344",1.0000000000000000e+00,5.6000000000000000e+03,1.1000000000000001e-03,"00",74835,
"576PDVS2","P0000035",1,"EQUI0277",1.0000000000000000e+00,1.3000000000000000e+02,1.0000000000000000e-03,"00",74836,
"576PDVS2","P0000035",1,"EQUI0214",6.0000000000000000e+00,2.0000000000000000e+01,3.0000000000000001e-03,"00",74837,
"576PDVS2","P0000035",1,"EQUI0074",2.0000000000000000e+00,2.0000000000000000e+01,1.0000000000000000e-02,"00",74838,
"576PDVS2","P0000110",2,"COP078",1.0000000000000000e+00,2.5000000000000000e+02,1.0000000000000000e+00,"00",74839,
"576PDVS2","P0003997",3,"EQUI0118",1.0000000000000000e+00,2.0000000000000000e+02,1.0000000000000000e+00,"00",74840,
"576PDVS2","P0003997",3,"EQUI0228",1.0000000000000000e+00,2.0000000000000000e+02,1.0000000000000000e+00,"00",74841,
"576PDVS2","P0005853",4,"EQUI0267",1.0000000000000000e+00,3.0000000000000000e+02,1.0000000000000000e+00,"00",74842,
"576PDVS2","P0005853",4,"*COMPAC6",1.0000000000000000e+00,1.5000000000000000e+05,1.5000000000000000e-03,"02",74843,
"576PDVS2","P0005853",4,"*CAMIO02",1.0000000000000000e+00,6.0000000000000000e+04,2.0000000000000000e-03,"01",74844,
"576PDVS2","P0005858",5,"EQUI0140",4.0000000000000002e-01,2.8000000000000000e+02,1.0000000000000000e+00,"00",74845,
"576PDVS2","P0005858",5,"EQUI0059",1.0000000000000000e+00,3.5000000000000000e+02,1.0000000000000000e+00,"00",74846,
"576PDVS2","P0005858",5,"EQUI0051",4.0000000000000002e-01,1.2000000000000000e+02,1.0000000000000000e+00,"00",74847,
"576PDVS2","P0005858",5,"*CAMIO03",3.0000000000000000e+00,1.5000000000000000e+05,2.0000000000000000e-03,"01",74848,
"576PDVS2","LAI499",6,"ALB133",1.0000000000000000e+00,1.4000000000000000e+02,8.0000000000000002e-03,"00",74849,
"576PDVS2","LAI499",6,"ALB027",8.0000000000000000e+00,3.0000000000000000e+01,3.4000000000000002e-02,"00",74850,
"576PDVS2","LAI499",6,"ALB091",2.0000000000000000e+00,5.0000000000000000e+01,3.5000000000000003e-02,"00",74851,
"576PDVS2","LAI499",6,"ALB002",2.0000000000000000e+00,3.0000000000000000e+01,3.7999999999999999e-02,"00",74852,
"576PDVS2","LAI499",6,"COP038",1.0000000000000000e+00,1.6000000000000000e+02,1.0000000000000000e+00,"00",74853,
