CodObr,CodPar,NumPar,CodIns,CanIns,CosIns,CodFam,Contad,CodAlt
"576PDVS2","P0000035",1,"MANO0056",2.0000000000000000e+00,1.0000000000000000e+01,"01",58225,
"576PDVS2","P0000035",1,"MANO0008",1.0000000000000000e+00,1.2000000000000000e+01,"00",58226,
"576PDVS2","P0000035",1,"DTC003",1.0000000000000000e+00,3.0000000000000000e+01,"01",58227,
"576PDVS2","P0000110",2,"MANO0056",2.0000000000000000e+00,1.0000000000000000e+01,"01",58228,
"576PDVS2","P0000110",2,"MANO0005",1.0000000000000000e+00,1.2000000000000000e+01,"01",58229,
"576PDVS2","P0000110",2,"MANO0007",1.0000000000000000e+00,1.0000000000000000e+01,"00",58230,
"576PDVS2","P0000110",2,"MANO0012",5.0000000000000000e-01,1.8000000000000000e+01,"00",58231,
"576PDVS2","P0000110",2,"MANO0059",1.0000000000000000e+00,1.5000000000000000e+01,"00",58232,
"576PDVS2","P0003997",3,"MANO0021",2.0000000000000000e+00,1.5000000000000000e+01,"00",58233,
"576PDVS2","P0003997",3,"MANO0007",3.0000000000000000e+00,1.0000000000000000e+01,"00",58234,
"576PDVS2","P0003997",3,"MANO0018",1.0000000000000000e+00,1.5000000000000000e+01,"00",58235,
"576PDVS2","P0005853",4,"MANO0007",2.0000000000000000e+00,1.0000000000000000e+01,"00",58236,
"576PDVS2","P0005853",4,"MANO0077",2.0000000000000000e+00,2.0000000000000000e+01,"00",58237,
"576PDVS2","P0005853",4,"MANO0012",2.5000000000000000e-01,1.8000000000000000e+01,"00",58238,
"576PDVS2","P0005853",4,"MANO0018",1.0000000000000000e+00,1.5000000000000000e+01,"00",58239,
"576PDVS2","P0005858",5,"MANO0042",1.0000000000000000e+00,2.0000000000000000e+01,"00",58240,
"576PDVS2","P0005858",5,"MANO0021",3.0000000000000000e+00,1.5000000000000000e+01,"00",58241,
"576PDVS2","P0005858",5,"MANO0019",4.0000000000000002e-01,1.2000000000000000e+01,"00",58242,
"576PDVS2","P0005858",5,"MANO0007",2.0000000000000000e+00,1.0000000000000000e+01,"00",58243,
"576PDVS2","P0005858",5,"MANO0059",1.0000000000000000e+00,1.5000000000000000e+01,"00",58244,
"576PDVS2","P0005858",5,"MANO0028",4.0000000000000002e-01,1.2000000000000000e+01,"00",58245,
"576PDVS2","LAI499",6,"MANO0057",1.0000000000000000e+00,1.2000000000000000e+01,"00",58246,
"576PDVS2","LAI499",6,"MANO0042",2.5000000000000000e-01,2.0000000000000000e+01,"00",58247,
"576PDVS2","LAI499",6,"MANO0056",2.0000000000000000e+00,1.0000000000000000e+01,"01",58248,
"576PDVS2","*COMPC01",7,"*OPEMAQ2",9.0000000000000000e+00,1.8000000000000000e+01,"01",58249,
"576PDVS2","*COMPC01",7,"*CAPORAL",1.0000000000000000e+00,2.5000000000000000e+01,"01",58250,
"576PDVS2","*COMPC01",7,"*OBRERO1",5.0000000000000000e+00,1.2000000000000000e+01,"01",58251,
"576PDVS2","*COMPC01",7,"*AYUDAOP",3.0000000000000000e+00,1.5000000000000000e+01,"01",58252,
"576PDVS2","*BACHEO7",8,"*OBRERO1",6.0000000000000000e+00,1.2000000000000000e+01,"01",58253,
"576PDVS2","*BACHEO7",8,"*MAESTR1",1.0000000000000000e+00,1.0960000000000001e+01,"01",58254,
"576PDVS2","*BACHEO7",8,"*OPENIV1",1.0000000000000000e+00,9.7200000000000006e+00,"01",58255,
"576PDVS2","*BACHEO7",8,"*OPERLIV",2.0000000000000000e+00,1.7000000000000000e+01,"01",58256,
"576PDVS2","*BACHEO7",8,"*AYUDAOP",2.0000000000000000e+00,1.5000000000000000e+01,"01",58257,
"576PDVS2","*PAVAS01",9,"*CAPEQUI",1.0000000000000000e+00,9.7200000000000006e+00,"01",59237,
"576PDVS2","*ARMRE07",10,"*CABILL1",2.0000000000000000e+00,3.1299999999999999e+00,"01",58263,
"576PDVS2","*ARMRE07",10,"*CABILL2",1.0000000000000000e+00,2.6499999999999999e+00,"01",58264,
"576PDVS2","*ARMRE07",10,"*AYUDAN1",1.0000000000000000e+00,1.2000000000000000e+01,"01",58265,
