CodObr,CodPar,NumPar,CodIns,CanIns,CosIns,Desper,CodFam,Contad,CodAlt
"576PDVS2","P0000035",1,"MATE0415",2.0000000000000001e-01,1.8000000000000000e+00,0.0000000000000000e+00,"01",248186,
"576PDVS2","P0005853",4,"RELLENO",1.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,"03",248187,
"576PDVS2","P0005853",4,"TRAN0008",1.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,"60",248188,
"576PDVS2","LAI499",6,"APA008",1.0000000000000000e+00,1.7000000000000000e+00,0.0000000000000000e+00,"60",248189,
"576PDVS2","LAI499",6,"MATE1384",1.0000000000000000e+00,3.8000000000000000e+01,5.0000000000000000e+00,"03",248190,
"576PDVS2","*COMPC01",7,"MATERIAL",1.0000000000000000e+00,1.5000000000000000e+01,0.0000000000000000e+00,"02",248191,
"576PDVS2","*BACHEO7",8,"*ASFAL26",1.0000000000000000e+00,7.8000000000000000e+01,0.0000000000000000e+00,"10",248192,
"576PDVS2","*ARMRE07",10,"*ACERO03",1.0000000000000000e+00,5.6600000000000001e+00,1.0000000000000000e+01,"01",248194,
"576PDVS2","*ARMRE07",10,"*ACERO10",1.0000000000000000e-02,1.7900000000000000e+00,0.0000000000000000e+00,"01",248195,
"576PDVS2","P0002329",11,"MATE0578",1.4999999999999999e-01,8.3000000000000000e+01,0.0000000000000000e+00,"01",248196,
"576PDVS2","P0002329",11,"CONTRAE",1.1000000000000001e+00,2.0000000000000000e+01,0.0000000000000000e+00,"04",248197,
"576PDVS2","P0001367",12,"MATE0123",8.0000000000000000e+00,3.8999999999999999e+00,0.0000000000000000e+00,"03",248198,
"576PDVS2","P0001367",12,"MATE0231",6.7249999999999999e-01,3.8000000000000000e+01,5.0000000000000000e+00,"03",248199,
"576PDVS2","P0001367",12,"MATE0083",2.0999999999999999e-01,2.0699999999999998e+00,0.0000000000000000e+00,"03",248200,
"576PDVS2","P0001367",12,"MATE1384",6.4500000000000002e-01,3.8000000000000000e+01,5.0000000000000000e+00,"03",248201,
"576PDVS2","P0001367",12,"CEM010",8.0000000000000000e+00,6.5000000000000000e+00,5.0000000000000000e+00,"02",248202,
"576PDVS2","P0001367",12,"TRANS",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,"60",248203,
"576PDVS2","*OBREX33",13,"*AGUA",1.6000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,"25",248204,
"576PDVS2","*OBREX33",13,"*AGREG03",5.9999999999999998e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248205,
"576PDVS2","*OBREX33",13,"*AGREG01",7.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,"02",248206,
"576PDVS2","*OBREX33",13,"*AGREG02",5.9999999999999998e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248207,
"576PDVS2","*OBREX30",14,"*AGREG01",7.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,"02",248208,
"576PDVS2","*OBREX30",14,"*AGREG02",5.9999999999999998e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248209,
"576PDVS2","*OBREX30",14,"*AGREG03",5.9999999999999998e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248210,
"576PDVS2","*OBREX30",14,"*AGUA",1.6000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,"25",248211,
"576PDVS2","OBREX30",15,"*TIERRAA",1.0000000000000001e-01,4.9600000000000000e+00,0.0000000000000000e+00,"18",248212,
"576PDVS2","OBREX30",15,"*AGUA",5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,"25",248213,
"576PDVS2","OBREX30",15,"ARBUS",1.0000000000000000e+00,5.0000000000000000e+01,0.0000000000000000e+00,"18",248214,
"576PDVS2","LAI490",16,"CEM002",1.0000000000000000e-02,6.0000000000000000e+00,5.0000000000000000e+00,"02",248215,
"576PDVS2","*PAVAS01",9,"*ASFAL25",1.5000000000000000e+00,3.5000000000000000e+00,0.0000000000000000e+00,"10",248954,
"576PDVS2","LAI490",16,"PIN188",2.0000000000000000e-02,5.0000000000000000e+01,5.0000000000000000e+00,"17",248216,
"576PDVS2","LAI499",19,"APA008",1.0000000000000000e+00,1.7000000000000000e+00,0.0000000000000000e+00,"60",248217,
"576PDVS2","LAI499",19,"MATE1384",1.0000000000000000e+00,3.8000000000000000e+01,5.0000000000000000e+00,"03",248218,
"576PDVS2","P0001661",20,"MATE0232",1.0500000000000000e+00,1.3000000000000000e+01,0.0000000000000000e+00,"03",248219,
"576PDVS2","P0002002",21,"MATE0083",1.0000000000000001e-01,2.0699999999999998e+00,0.0000000000000000e+00,"03",248220,
"576PDVS2","UP333",22,"MT539",3.4799999999999998e-02,1.2000000000000000e+01,5.0000000000000000e+00,"12",248221,
"576PDVS2","UP333",22,"MT970",7.4000000000000003e-03,8.5000000000000000e+01,5.0000000000000000e+00,"12",248222,
"576PDVS2","UP333",22,"MATE2062",1.0000000000000000e+00,3.0000000000000000e+01,0.0000000000000000e+00,"12",248223,
"576PDVS2","UP333",22,"JUNTA",1.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,"12",248224,
"576PDVS2","LAI530",23,"MT3549",1.0000000000000000e+00,2.0000000000000000e+01,2.0000000000000000e+00,"05",248225,
"576PDVS2","LAI530",23,"COC083",1.0000000000000000e+00,2.5000000000000000e+01,2.0000000000000000e+00,"05",248226,
"576PDVS2","LAI530",23,"CEM010",5.0000000000000000e+00,6.5000000000000000e+00,5.0000000000000000e+00,"02",248227,
"576PDVS2","LAI530",23,"AGR033",4.0000000000000002e-01,5.0000000000000000e+01,5.0000000000000000e+00,"03",248228,
"576PDVS2","LAI530",23,"AGR001",5.0000000000000000e-01,5.5999999999999996e+00,0.0000000000000000e+00,"03",248229,
"576PDVS2","LAI530",23,"TUBOPVC",1.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,"12",248230,
"576PDVS2","LAI530",23,"TAPA",1.0000000000000000e+00,7.5000000000000000e+01,0.0000000000000000e+00,"12",248231,
"576PDVS2","P0004769",24,"MATE0231",4.7249999999999998e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248232,
"576PDVS2","P0004769",24,"MATE0083",1.8379999999999999e-01,2.0699999999999998e+00,0.0000000000000000e+00,"03",248233,
"576PDVS2","P0004769",24,"MATE1384",9.4499999999999995e-01,3.8000000000000000e+01,0.0000000000000000e+00,"03",248234,
"576PDVS2","P0004769",24,"CEM010",8.4000000000000004e+00,6.5000000000000000e+00,5.0000000000000000e+00,"02",248235,
"576PDVS2","P0005722",25,"MATE0724",1.0000000000000000e+00,3.5000000000000000e+02,0.0000000000000000e+00,"05",248236,
"576PDVS2","P0005722",25,"MATE1292",2.6400000000000000e-02,1.1000000000000000e+02,0.0000000000000000e+00,"05",248237,
"576PDVS2","P0005722",25,"TRAN1438",1.0000000000000000e+00,1.0000000000000000e+01,0.0000000000000000e+00,"60",248238,
"576PDVS2","P0003198",26,"MATE0569",1.0000000000000000e+00,3.5000000000000000e+02,0.0000000000000000e+00,"05",248239,
"576PDVS2","P0003198",26,"MATE1292",5.2800000000000000e-02,1.1000000000000000e+02,0.0000000000000000e+00,"05",248240,
"576PDVS2","P0003198",26,"TRAN1663",1.0000000000000000e+00,2.0000000000000000e+01,0.0000000000000000e+00,"60",248241,
"576PDVS2","P0004757",27,"MATE1263",1.0000000000000000e+00,2.9500000000000000e+02,0.0000000000000000e+00,"15",248242,
"576PDVS2","P0004757",27,"MATE1292",1.3200000000000000e-02,1.1000000000000000e+02,0.0000000000000000e+00,"05",248243,
"576PDVS2","LAI531",28,"CEM002",1.0000000000000000e-02,6.0000000000000000e+00,5.0000000000000000e+00,"02",248244,
"576PDVS2","LAI531",28,"PIN188",1.0000000000000000e-02,5.0000000000000000e+01,5.0000000000000000e+00,"17",248245,
"576PDVS2","P0000173",30,"MATE0083",1.0000000000000001e-01,2.0699999999999998e+00,0.0000000000000000e+00,"03",248246,
"576PDVS2","P0003576",31,"MATE2079",1.1000000000000001e+00,3.0000000000000000e+01,0.0000000000000000e+00,"12",248247,
"576PDVS2","P0003576",31,"MATE1035",1.4999999999999999e-02,1.2000000000000000e+01,0.0000000000000000e+00,"25",248248,
"576PDVS2","P0003606",32,"MATE0196",3.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,"12",248249,
"576PDVS2","P0003606",32,"MATE1035",4.4999999999999998e-02,1.2000000000000000e+01,0.0000000000000000e+00,"25",248250,
"576PDVS2","P0003606",32,"MATE1723",1.0000000000000000e+00,3.5000000000000000e+01,0.0000000000000000e+00,"12",248251,
"576PDVS2","P0003641",33,"MATE0196",1.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,"12",248252,
"576PDVS2","P0003641",33,"MATE0953",1.0000000000000000e-04,3.7999999999999998e+00,0.0000000000000000e+00,"09",248253,
"576PDVS2","P0003641",33,"MATE1669",1.0000000000000000e+00,3.2000000000000000e+01,0.0000000000000000e+00,"12",248254,
"576PDVS2","P0003641",33,"MATE1035",1.4999999999999999e-02,1.2000000000000000e+01,0.0000000000000000e+00,"25",248255,
"576PDVS2","LIC006",34,"TUBERIA",1.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,"12",248256,
"576PDVS2","LIC006",34,"LLAVE DE",1.0000000000000000e+00,6.5000000000000000e+00,0.0000000000000000e+00,"12",248257,
"576PDVS2","P0005861",35,"MATE0264",1.0000000000000000e+00,4.5000000000000000e+01,0.0000000000000000e+00,"14",248258,
"576PDVS2","P0005861",35,"MATE0687",3.8000000000000000e-01,3.0000000000000000e+01,0.0000000000000000e+00,"14",248259,
"576PDVS2","P0005861",35,"MATE0690",1.0000000000000000e+00,8.8300000000000001e+00,0.0000000000000000e+00,"14",248260,
"576PDVS2","P0005861",35,"MATE1430",1.0000000000000000e+00,1.4240000000000000e+03,0.0000000000000000e+00,"14",248261,
"576PDVS2","P0005862",36,"MATE1007",1.0500000000000001e-02,3.0000000000000000e+01,0.0000000000000000e+00,"17",248262,
"576PDVS2","P0005862",36,"MATE0932",1.4999999999999999e-02,1.1000000000000000e+01,0.0000000000000000e+00,"01",248263,
"576PDVS2","P0005862",36,"MATE0859",5.0000000000000001e-03,9.9800000000000004e+00,0.0000000000000000e+00,"01",248264,
"576PDVS2","P0005862",36,"MATE0943",1.0000000000000000e+00,1.0039999999999999e+01,0.0000000000000000e+00,"24",248265,
