CodObr,ParDes,ParHas,Cont,SubCap,DesCap,FechaIni,FechaFin,CodCap
"576PDVS2",1,4,,"C","MOVIMIENTO DE TIERRA",,,1.0000000000000000e+00
"576PDVS2",5,15,,"C","VIALIDAD Y CAMINERIAS",,,2.0000000000000000e+00
"576PDVS2",16,27,,"C","CLOACAS",,,3.0000000000000000e+00
"576PDVS2",28,34,,"C","ACUEDUCTOS",,,4.0000000000000000e+00
"576PDVS2",35,55,,"C","ALTA Y BAJA TENSION",,,5.0000000000000000e+00
"576PDVS2",56,68,,"C","ESTRUCTURA",,,6.0000000000000000e+00
"576PDVS2",69,86,,"C","ALBAÑILERIA Y ACABADOS",,,7.0000000000000000e+00
"576PDVS2",87,102,,"C","INSTALACIONES ELECTRICAS",,,8.0000000000000000e+00
"576PDVS2",103,105,,"C","GAS",,,9.0000000000000000e+00
"576PDVS2",106,125,,"C","INSTALACIONES SANITARIAS",,,1.0000000000000000e+01
"576PDVS2",126,128,,"C","CONTRA INCENDIO",,,1.1000000000000000e+01
