Contad,SubCap,DesCap
57,"C","ACUEDUCTOS"
58,"C","ACUEDUCTOS , ETAPA A, 457 VIVIENDAS"
59,"C","ALBAÑILERIA Y ACABADOS"
60,"C","ALBAÑILERIA Y ACABADOS, 457 VIVIENDAS"
61,"C","ALTA Y BAJA TENSION"
62,"C","ALTA Y BAJA TENSION, 457 VIVIENDAS"
63,"C","CARPINTERIA Y HERRERIA, 457 VIVIENDAS"
64,"C","CLOACAS"
65,"C","CLOACAS, DESCARGA FINAL"
66,"C","CLOACAS, ETAPA A, 457 VIVIENDAS"
67,"C","ESTRUCTURA"
68,"C","ESTRUCTURA, 457 VIVIENDAS"
69,"C","INFRAESTRUCTURA, 457 VIVIENDAS"
70,"C","INSTALACIONES ELECTRICAS"
71,"C","INSTALACIONES ELECTRICAS, 457 VIVIENDAS"
72,"C","INSTALACIONES SANITARIAS"
73,"C","INSTALACIONES SANITARIAS, 457 VIVIENDAS"
74,"C","MOVIMIENTO DE TIERRA"
75,"C","MOVIMIENTO DE TIERRA, 457 VIVIENDAS"
76,"C","MURO PERIMETRAL"
77,"C","OBRAS EXTERIORES, 457 VIVIENDAS"
78,"C","OBRAS EXTRAS URBANISMO"
79,"C","OBRAS EXTRAS VIVIENDAS"
80,"C","OBRAS PROVISIONALES, 457 VIVIENDAS"
81,"C","PINTURA, 457 VIVIENDAS"
82,"C","TECHO, 457 VIVIENDAS"
83,"C","VIALIDAD"
84,"C","VIALIDAD,457 VIVIENDAS"
85,"C","ALBANILERIA Y ACABADOS"
86,"C","CAMINERIAS"
87,"C","VIALIDAD Y CAMINERIAS"
88,"C","CONTRA INCENDIO"
89,"C","GAS"
