CodObr,Cont,FechaIni,FechaFin
"PDVSA500",1,"02/10/23 00:00:00","03/23/23 00:00:00"
"PDVSA500",2,"02/10/23 00:00:00","05/09/23 00:00:00"
"PDVSA500",3,"02/10/23 00:00:00","07/17/23 00:00:00"
"PDVSA500",4,"02/10/23 00:00:00","04/18/23 00:00:00"
"PDVSA500",5,"02/10/23 00:00:00","03/14/23 00:00:00"
"PDVSA500",6,"02/10/23 00:00:00","09/21/23 00:00:00"
"PDVSA500",7,"02/10/23 00:00:00","02/27/26 00:00:00"
"PDVSA500",8,"02/10/23 00:00:00","03/05/24 00:00:00"
"PDVSA500",9,"02/10/23 00:00:00","04/15/24 00:00:00"
"576PDVS2",1,"04/27/23 00:00:00","06/01/23 00:00:00"
"576PDVS2",2,"04/27/23 00:00:00","07/12/23 00:00:00"
"576PDVS2",3,"04/27/23 00:00:00","08/18/23 00:00:00"
"576PDVS2",4,"04/27/23 00:00:00","07/03/23 00:00:00"
"576PDVS2",5,"04/27/23 00:00:00","05/29/23 00:00:00"
"576PDVS2",6,"04/27/23 00:00:00","12/06/23 00:00:00"
"576PDVS2",7,"04/27/23 00:00:00","11/14/23 00:00:00"
"576PDVS2",8,"04/27/23 00:00:00","05/20/24 00:00:00"
"576PDVS2",9,"04/27/23 00:00:00","03/14/24 00:00:00"
"576PDVS2",10,"04/27/23 00:00:00","06/13/23 00:00:00"
