CodObr,NumPar,CodPar,Cont,Descri,PreUni,CanPar,RenPar2,FechaIni,CantDias,FechaFin,Seccionada,PartBase,Porcentaje,UniPar,IndIni
"576PDVS2",1,"P0000035",,"REPLANTEO DE COORDENADAS PARA UBICACION DE ELEMENTOS CONSTRUCTIVOS EN OBRA.",4.6999999999999997e-01,5.0454540000000001e+04,2.0000000000000000e+04,"04/27/23 00:00:00",3.0000000000000000e+00,"05/01/23 00:00:00",0,0,0.0000000000000000e+00,"M2","I"
"576PDVS2",2,"P0000110",,"DEFORESTACION LIVIANA Y LIMPIEZA PARA TERRACEO (RASTROJOS, VEGETACION BAJA EN GENERAL, CON ALTURA INFERIOR A 8m), EN AREAS COMPRENDIDAS ENTRE 1 Y 5 HECTAREAS. INCLUYE DESRAIZAMIENTO Y ELIMINACION DE TRINCHERAS ",2.3065099999999998e+03,6.5400000000000000e+00,3.0000000000000004e-01,"05/04/23 00:00:00",2.2000000000000000e+01,"06/02/23 00:00:00",0,0,0.0000000000000000e+00,"ha","I"
"576PDVS2",3,"P0003997",,"TRANSPORTE DE MAQUINARIA PESADA PARA LA PREPARACION DEL SITIO, DRENAJES, MOVIMIENTO DE TIERRA, BASES, ASFALTOS, CON PESO DE 10 A 30 T. POR MAQUINARIA. ",1.8700000000000001e+00,1.2727270000000000e+04,5.0000000000000000e+02,"05/08/23 00:00:00",2.6000000000000000e+01,"06/12/23 00:00:00",0,0,0.0000000000000000e+00,"tfxkm","I"
"576PDVS2",4,"P0005853",,"CONSTRUCCION DE RELLENO CON MATERIAL MEJORADO COMPACTADO CON EQUIPOS DE PERCUCION.",1.5190000000000000e+01,8.5340000000000000e+03,1.0000000000000000e+03,"05/24/23 00:00:00",9.0000000000000000e+00,"06/05/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",5,"P0005858",,"EXCAVACION DE CUALQUIER TIPO DE MATERIAL, CON EMPLEO DE TRACTOR Y EQUIPO CARGADOR, CARGA, TRANSPORTE HASTA 200m DE DISTANCIA Y DESCARGA.",5.3500000000000005e+00,7.5480000000000000e+03,4.5000000000000000e+02,"04/27/23 00:00:00",1.7000000000000000e+01,"05/19/23 00:00:00",0,0,0.0000000000000000e+00,"M3","I"
"576PDVS2",6,"LAI499",,"CONSTRUCCION DE BASE DE PIEDRA PICADA CORRESPONDIENTE A OBRAS PREPARATIVAS.",6.3430000000000000e+01,1.7370000000000000e+03,4.0000000000000000e+01,"04/27/23 00:00:00",4.4000000000000000e+01,"06/27/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",7,"*COMPC01",,"COMPACTACION DE RELLENO CON APISONADORES DE PERCUCION CORRESPONDIENTE A LA PREPARACION DEL SITIO CON MATERIAL MEJORADO",4.8519999999999996e+01,3.1480000000000000e+03,1.5000000000000000e+02,"04/27/23 00:00:00",2.1000000000000000e+01,"05/25/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",8,"*BACHEO7",,"SUMINISTRO Y COLOCACION DE CARPETA ASFALTICA UTILIZANDO MEZCLA ASFALTICA EN CALIENTE, TIPO II CON AGREGADOS PROCEDENTES DE CANTERA, PRODUCTO DE VOLADURA Y TRITURACION,IINCLUYE EL TRANSPORTE DE LOS AGREGADOS, Y DELL MATERIAL ASFALTICO DE LA MEZCLA",1.2742000000000000e+02,2.8000000000000000e+03,1.6000000000000000e+02,"04/27/23 00:00:00",1.8000000000000000e+01,"05/22/23 00:00:00",0,0,0.0000000000000000e+00,"Ton.","I"
"576PDVS2",9,"*PAVAS01",,"IMPRIMACION ASFALTICA EMPLEANDO MATERIAL ASFALTICO TIPO.    ",7.1200000000000001e+00,1.1200000000000000e+04,3.8000000000000000e+03,"04/27/23 00:00:00",2.9500000000000002e+00,"04/29/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",10,"*ARMRE07",,"SUMUNISTRO Y TRANSPORTE, PREPARACION Y COLOCACION DE MALLA SOLDADA DE ACERO, PARA INFRAESTRUCTURA.   ",8.9199999999999999e+00,9.6000000000000000e+03,5.0000000000000000e+02,"04/27/23 00:00:00",2.0000000000000000e+01,"05/24/23 00:00:00",0,0,0.0000000000000000e+00,"Kg.","I"
"576PDVS2",11,"P0002329",,"ENCOFRADO DE MADERA TIPO RECTO, ACABADO CORRIENTE EN CAMINERIAS, INCLUYENDO MACIZADOS",5.1540000000000006e+01,7.0000000000000000e+02,1.2000000000000000e+02,"04/27/23 00:00:00",6.0000000000000000e+00,"05/04/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",12,"P0001367",,"CONCRETO Fc 200 kgf/cm2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE CAMINERIAS, CORRESPONDIENTE A OBRAS DE SERVICIO",2.2645000000000002e+02,5.6000000000000000e+02,8.6000000000000000e+01,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",13,"*OBREX33",,"CONCRETO DE Fc 180 Kg/CM2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE BROCALES CORRESPONDIENTES A OBRAS DE SERVICIOS. INCLUYE TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50 KM Y EXCLUYE EL REFUERZO METALICO Y EL ENCOFRADO.",1.8950000000000000e+02,3.3500000000000000e+02,1.4000000000000000e+01,"04/27/23 00:00:00",2.4000000000000000e+01,"05/30/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",14,"*OBREX30",,"CONCRETO DE Fc 180 Kg/CM2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE ACERAS Y CUNETAS CORRESPONDIENTES A OBRAS DE SERVICIOS. INCLUYE TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50 KM Y EXCLUYE EL REFUERZO METALICO Y EL ENCOFRADO.",1.9120000000000002e+02,2.4000000000000000e+02,1.4000000000000000e+01,"04/27/23 00:00:00",1.8000000000000000e+01,"05/22/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",15,"OBREX30",,"PAISAJISMO CON ARBUSTOS, PLANTAS DECORATIVAS  Y PIEDRA PARA AREAS EXTERIORES.",6.9819999999999993e+01,3.2500000000000000e+03,6.0000000000000000e+01,"04/27/23 00:00:00",5.5000000000000000e+01,"07/12/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",16,"LAI490",,"REPLANTEO AUXILIAR DE CLOACAS.",3.0899999999999999e+00,1.6180000000000000e+03,4.0000000000000000e+02,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"ml","I"
"576PDVS2",17,"P0000164",,"EXCAVACION EN TIERRA CON USO DE EQUIPO RETROEXCAVADOR PARA ASIENTO DE FUNDACIONES, ZANJAS, ETC. INCLUYE REPERFILAMIENTO A MANO ",2.1379999999999999e+01,1.0014600000000000e+03,6.0000000000000000e+01,"04/27/23 00:00:00",1.7000000000000000e+01,"05/19/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",18,"BOTE1",,"BOTE DE CUALQUIER TIPO DE MATERIAL PROVENIENTE DE LAS EXCAVACIONES Y MOVIMIENTO DE TIERRA, A DISTANCIAS MAYORES DE 10 KM",6.6399999999999997e+00,8.1123999999999996e+03,1.0000000000000000e+02,"04/27/23 00:00:00",8.2000000000000000e+01,"08/18/23 00:00:00",0,0,0.0000000000000000e+00,"M3","I"
"576PDVS2",19,"LAI499",,"CONSTRUCCION DE BASE DE PIEDRA PICADA CORRESPONDIENTE A OBRAS PREPARATIVAS.",6.3430000000000000e+01,6.6760000000000005e+01,4.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
