CodEqu,CodFam,CosEqu,CosDia,Deprec,Transp,FecEqu,Dep01,Provee,Man01,Rep01,PorNacImp,TipEqu,Importado,CodAlt,Descri
"*ALICAT2","01",1.8000000000000000e+01,1.7999999999999999e-01,1.0000000000000000e-02,,"06/14/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ALICATE CRESCENT 8"""
"*AMPERM1","01",3.0000000000000000e+01,8.9999999999999997e-02,3.0000000000000001e-03,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"VOLTIAMPERIMETRO ANALOGO SK-7100 600V 600A 20kOhm KAISE"
"*CAMIO02","01",6.0000000000000000e+04,1.2000000000000000e+02,2.0000000000000000e-03,,"03/08/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CAMION CISTERNA 15.000 LTS."
"*CAMIO03","01",1.5000000000000000e+05,3.0000000000000000e+02,2.0000000000000000e-03,"N","03/08/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CAMION DE VOLTEO MACK VM23 12 M3"
"*CARRET1","01",3.0000000000000000e+01,1.2000000000000000e-01,4.0000000000000001e-03,,"06/14/22 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CARRETILLA DE RUEDAS NEUMATICAS DE CAPACIDAD= 55 l"
"*CARRET2","01",1.9000000000000000e+02,9.4999999999999996e-01,5.0000000000000001e-03,,"04/24/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CARRETON BUGGI 150 L RUEDAS DE GOMA"
"*COMPAC6","02",1.5000000000000000e+05,2.2500000000000000e+02,1.5000000000000000e-03,,"03/08/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"COMPACTADORA CAT 815F"
"*CUCHAR1","01",2.7799999999999998e+00,2.0000000000000000e-02,5.4999999999999997e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CUCHARA DE 6"" MARCA BELLOTA"
"*DESTOR1","01",3.6719999999999999e+01,2.0000000000000001e-01,5.4999999999999997e-03,,"06/14/22 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"JUEGO DE ATORNILLADORES 15 PZAS STANLEY"
"*EQUIP02","01",1.0855000000000000e+02,3.8000000000000000e-01,3.5000000000000001e-03,"N","09/06/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO PARA CABILLA"
"*EQUIP05","01",2.5516000000000000e+02,2.5499999999999998e+00,1.0000000000000000e-02,"N","01/31/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO PARA ALBAÑILERIA TIPO 1"
"*EQUIP06","01",5.9100000000000001e+01,1.2000000000000000e-01,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"EQUIPO DE ACABADOS INTERIORES."
"*EQUIP10","01",7.6000000000000000e+03,3.6399999999999999e+01,4.7900000000000000e-03,"N","04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO PARA INSTALACION ELECTRICA"
"*EQUIP15","01",1.0140000000000001e+02,1.0100000000000000e+00,1.0000000000000000e-02,"N","08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO DE JARDINERIA."
"*ESCALE1","01",3.1410000000000000e+01,1.7000000000000001e-01,5.4999999999999997e-03,"N","08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"ESCALERA TIPO TIJERA DE ALUMINIO DE 7 TRAMOS"
"*GRUATEL","02",1.7800000000000001e+01,1.7800000000000001e+01,1.0000000000000000e+00,"N","09/06/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"GRUA P&H CAPACIDAD 25 TON TELESCOPICA INCLUYE OPERADOR"
"*MEZCLA1","01",8.0000000000000000e+01,8.0000000000000000e+01,1.0000000000000000e+00,"N","01/02/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"TROMPO MEZCLADOR ELECTRICO DE VOLTAJE= 110 V"
"*PALA001","01",4.0000000000000000e+01,4.0000000000000002e-01,1.0000000000000000e-02,"N","04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"PALA REDONDA"
"*PINZAS1","01",5.3200000000000003e+00,5.0000000000000003e-02,1.0000000000000000e-02,"N","08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"PINZA PELACABLES TIPO AUTOMATICA"
"*PISTOLA","01",3.8009999999999998e+01,1.3000000000000000e-01,3.5000000000000001e-03,,"08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"PISTOLA DE FIJACIONES PARA TECHO, MARCA JAMERGO"
"*TALADR1","01",7.0000000000000000e+01,3.5699999999999998e+00,5.0999999999999997e-02,,"04/24/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"TALADRO ELECT-MANDRIL 3/8"" BOSCH 1800rpm 450w PERCUTOR"
"*VIBRAD1","01",1.4100599999999999e+03,1.1279999999999999e+01,8.0000000000000002e-03,"N","02/02/22 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"VIBRADOR CABEZAL D=48 mm,AVNU-48 ELECTRICO,L=4M"
"*WINCHE1","01",6.3000000000000000e+04,1.5750000000000000e+02,2.5000000000000001e-03,"N","04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"WINCHE CABRESTANTE CAP=2 TON,24 HP(ELECTRICO)"
"ALB002","00",3.0000000000000000e+01,1.1399999999999999e+00,3.7999999999999999e-02,,"01/30/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CARRETILLA CAP= 55 LT CAUCHOS DE GOMA"
"ALB026","00",1.0000000000000000e+01,6.7000000000000004e-01,6.7000000000000004e-02,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"TOBO PLASTICO  DE ALBAÑIL"
"ALB027","00",3.0000000000000000e+01,1.0200000000000000e+00,3.4000000000000002e-02,,"02/05/08 00:00:00",1.00000000e+00,"FERRETERIA DEL ESTE",,,1.0000000000000000e+02,0,0,,"PALA NACIONAL CON CABO DE MADERA"
"ALB051","00",5.9000000000000000e+01,5.8999999999999997e-01,1.0000000000000000e-02,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"MARTILLO DE GOMA"
"ALB091","00",5.0000000000000000e+01,1.7500000000000000e+00,3.5000000000000003e-02,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"JUEGO DE PICO Y PALA"
"ALB133","00",1.4000000000000000e+02,1.1200000000000001e+00,8.0000000000000002e-03,,"01/30/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"MANGUERA PLASTICA DE 1/2"" L=100 MTS (TIP"
"ALB136","00",2.4000000000000000e+01,2.3999999999999999e-01,1.0000000000000000e-02,,"02/05/08 00:00:00",1.00000000e+00,"FERRETERIA DEL ESTE",,,1.0000000000000000e+02,0,0,,"NIVEL DE 3 BURBUJAS 14"" STANLEY"
"ALB137","00",4.0000000000000000e+01,8.8000000000000000e-01,2.1999999999999999e-02,,"02/05/08 00:00:00",1.00000000e+00,"FERRETERIA DEL ESTE",,,1.0000000000000000e+02,0,0,,"SEGUETA AJUSTABLE STANLEY"
