CodMan,CodFam,Salari,Superv,FecMan,PorNacImp,Importado,CodAlt,Descri
"MANO0032","00",1.5000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"IMPERMEABILIZADOR DE 1ra."
"MANO0038","00",1.5000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"LINIERO DE 1ra."
"MANO0039","01",2.0000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO CABILLERO"
"MANO0040","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO CARPINTERO DE 1ra."
"MANO0041","00",1.5000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO CARPINTERO DE 2da."
"MANO0042","00",2.0000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO DE OBRA DE 1ra."
"MANO0043","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO DE OBRA DE 2da."
"MANO0044","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO DE OBRAS ELECTROMECANICAS"
"MANO0045","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO ELECTRICISTA"
"MANO0047","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO IMPERMEABILIZADOR"
"MANO0049","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO PINTOR"
"MANO0050","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAESTRO PLOMERO DE 1ra."
"MANO0051","00",1.8000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MAQUINISTA DE CONCRETO DE 1ra."
"MANO0055","00",1.5000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"MONTADOR"
"MANO0056","01",1.0000000000000000e+01,"N","01/31/23 00:00:00",1.0000000000000000e+02,0,,"OBRERO DE 1ra."
