CodMat,CodFam,UniMat,CosMat,Desper,Provee,Consum,FecMat,Importado,PorNacImp,EquActFij,CodAlt,Descri
"*ACERO03","01","M2",5.6600000000000001e+00,0.0000000000000000e+00," ","N","03/08/23 00:00:00",0,1.0000000000000000e+02,0,,"MALLA ELECTROSOLDADA 10X10  DE 6 MM"
"*ACERO10","01","Kgf",1.7900000000000000e+00,0.0000000000000000e+00," ","S","08/25/21 00:00:00",0,1.0000000000000000e+02,0,,"ALAMBRE LISO GALVANIZADO CAL 18/ ROLLO DE 50 Kgf"
"*AGREG01","02","Saco",6.0000000000000000e+00,0.0000000000000000e+00," ","S","03/08/23 00:00:00",0,1.0000000000000000e+02,0,,"CEMENTO PORTLAND GRIS SACO 42.5 Kg (INCLUYE MANEJO)"
"*AGREG02","03","m3",3.8000000000000000e+01,0.0000000000000000e+00," ","S","03/09/23 00:00:00",0,1.0000000000000000e+02,0,,"ARENA LAVADA (INCLUYE CARGA Y LOGISTICA)"
"*AGREG03","03","m3",3.8000000000000000e+01,0.0000000000000000e+00," ","S","03/09/23 00:00:00",0,1.0000000000000000e+02,0,,"PIEDRA TRITURADA DE 1"""
"*AGREG09","02","Saco",1.3590000000000000e+01,0.0000000000000000e+00," ","S","02/02/22 00:00:00",0,1.0000000000000000e+02,0,,"CEMENTO BLANCO 21,25 Kgf/saco"
"*AGREG11","02","Saco",2.5000000000000000e+00,0.0000000000000000e+00," ","S","03/08/23 00:00:00",0,1.0000000000000000e+02,0,,"PEGO BLANCO MONTELUPO 20 Kgf/saco"
"*AGUA","25","m3",3.0000000000000000e+00,0.0000000000000000e+00," ","S","09/04/22 00:00:00",0,1.0000000000000000e+02,0,,"AGUA-TARIFA INDUSTRIAL TIPO ""B"""
"*CABLE11","14","m",2.2700000000000000e+00,0.0000000000000000e+00,"CAMI, 22-31-63",,"09/06/22 00:00:00",0,1.0000000000000000e+02,0,,"CABLE TTU # 8 AWG/MCM (90° C 600 V)"
"*LUMIN77","14","Pza.",1.2000000000000000e+01,0.0000000000000000e+00," ","S","03/09/23 00:00:00",0,1.0000000000000000e+02,0,,"LUM. EMBUT.ACER.GALV OPTICA ALUM ANOD T5 3 L B/ELECTR"
"*MATEIE1","14","S.G.",1.7000000000000001e-01,0.0000000000000000e+00," ","N","09/06/22 00:00:00",0,1.0000000000000000e+02,0,,"MATERIALES VARIOS INSTALACIONES ELECT."
"*TEIPE02","14","Rollo",8.3999999999999997e-01,0.0000000000000000e+00," ","S","08/25/21 00:00:00",0,1.0000000000000000e+02,0,,"ROLLO DE TEIPE NEGRO # 33 (COBRA)"
"*TIERRAA","18","m3",4.9600000000000000e+00,0.0000000000000000e+00," ","N","08/25/21 00:00:00",0,1.0000000000000000e+02,0,,"TIERRA NEGRA ABONADA"
"ACERO","01","KG",2.0499999999999998e+00,0.0000000000000000e+00," ","N","01/31/23 00:00:00",0,1.0000000000000000e+02,0,,"CABILLA 1/2"""
"AGR001","03","M3",5.5999999999999996e+00,0.0000000000000000e+00," ","N","01/13/09 00:00:00",0,1.0000000000000000e+02,0,,"AGUA TARIFA INDUSTRIAL"
"AGR033","03","M3",5.0000000000000000e+01,5.0000000000000000e+00,"MATERIAL REGULADO POR GACETA",,"01/31/23 00:00:00",0,1.0000000000000000e+02,0,,"ARENA LAVADA EN SITIO DE EXPLOTACION (PM"
"APA008","60","UND",1.7000000000000000e+00,0.0000000000000000e+00," ","N","02/05/08 00:00:00",0,1.0000000000000000e+02,0,,"COSTO AGREGADO DE TRANSPORTE            "
"ARBUS","18","UND",5.0000000000000000e+01,0.0000000000000000e+00," ","N","06/14/22 00:00:00",0,1.0000000000000000e+02,0,,"ARBUSTOS"
"ARROCILL","09","M3",5.0000000000000000e+01,0.0000000000000000e+00," ","N","04/25/23 00:00:00",0,1.0000000000000000e+02,0,,"ARROCILLO"
"BATEA","12","UND",6.0000000000000000e+01,0.0000000000000000e+00," ","N","01/31/23 00:00:00",0,1.0000000000000000e+02,0,,"BATEA DE PLASTICO"
"BREAKER3","14","UND",2.5000000000000000e+01,0.0000000000000000e+00," ","N","02/02/23 00:00:00",0,1.0000000000000000e+02,0,,"BREAKER DE 2x40"
"CABLE","14","ML",8.0000000000000000e+00,0.0000000000000000e+00," ","N","01/31/23 00:00:00",0,1.0000000000000000e+02,0,,"CABLE 2/0"
"CABLE 14","14","ML",6.9999999999999996e-01,0.0000000000000000e+00," ","N","02/02/23 00:00:00",0,1.0000000000000000e+02,0,,"CABLE 14"
"CABLE 3","14","ML",1.3000000000000000e+01,0.0000000000000000e+00," ","N","01/31/23 00:00:00",0,1.0000000000000000e+02,0,,"CABLE 3/0"
"CAJA","14","UND",3.5000000000000000e+01,0.0000000000000000e+00," ","N","02/02/23 00:00:00",0,1.0000000000000000e+02,0,,"CAJA PARA MEDIDOR"
"CEM002","02","SCO",6.0000000000000000e+00,5.0000000000000000e+00,"FERRETERIA JJ MARTINS.C.A",,"01/30/23 00:00:00",0,1.0000000000000000e+02,0,,"CAL EN POLVO SCO DE 8 KG"
