CodObr,NumPar,NumSec,Cont,FechaIni,FechaFin,CanPar,CantDias,RenPar2,PartBase,Porcentaje
"576PDVS2",126,1,,"04/27/23 00:00:00","06/13/23 00:00:00",5.0000000000000000e+03,3.4000000000000000e+01,1.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",128,1,,"04/27/23 00:00:00","05/05/23 00:00:00",9.6000000000000000e+01,7.0000000000000000e+00,1.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",127,1,,"04/27/23 00:00:00","04/27/23 00:00:00",1.0000000000000000e+01,6.7000000000000004e-01,1.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",1,1,,"04/27/23 00:00:00","05/01/23 00:00:00",5.0454540000000001e+04,3.0000000000000000e+00,2.0000000000000000e+04,0,0.0000000000000000e+00
"576PDVS2",2,1,,"05/04/23 00:00:00","06/02/23 00:00:00",6.5400000000000000e+00,2.2000000000000000e+01,3.0000000000000004e-01,0,0.0000000000000000e+00
"576PDVS2",3,1,,"05/08/23 00:00:00","06/12/23 00:00:00",1.2727270000000000e+04,2.6000000000000000e+01,5.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",4,1,,"05/24/23 00:00:00","06/05/23 00:00:00",8.5340000000000000e+03,9.0000000000000000e+00,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",5,1,,"04/27/23 00:00:00","05/19/23 00:00:00",7.5480000000000000e+03,1.7000000000000000e+01,4.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",6,1,,"04/27/23 00:00:00","06/27/23 00:00:00",1.7370000000000000e+03,4.4000000000000000e+01,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",7,1,,"04/27/23 00:00:00","05/25/23 00:00:00",3.1480000000000000e+03,2.1000000000000000e+01,1.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",8,1,,"04/27/23 00:00:00","05/22/23 00:00:00",2.8000000000000000e+03,1.8000000000000000e+01,1.6000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",10,1,,"04/27/23 00:00:00","05/24/23 00:00:00",9.6000000000000000e+03,2.0000000000000000e+01,5.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",11,1,,"04/27/23 00:00:00","05/04/23 00:00:00",7.0000000000000000e+02,6.0000000000000000e+00,1.2000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",12,1,,"04/27/23 00:00:00","05/05/23 00:00:00",5.6000000000000000e+02,7.0000000000000000e+00,8.6000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",13,1,,"04/27/23 00:00:00","05/30/23 00:00:00",3.3500000000000000e+02,2.4000000000000000e+01,1.4000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",14,1,,"04/27/23 00:00:00","05/22/23 00:00:00",2.4000000000000000e+02,1.8000000000000000e+01,1.4000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",15,1,,"04/27/23 00:00:00","07/12/23 00:00:00",3.2500000000000000e+03,5.5000000000000000e+01,6.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",16,1,,"04/27/23 00:00:00","05/03/23 00:00:00",1.6180000000000000e+03,5.0000000000000000e+00,4.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",17,1,,"04/27/23 00:00:00","05/19/23 00:00:00",1.0014600000000000e+03,1.7000000000000000e+01,6.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",18,1,,"04/27/23 00:00:00","08/18/23 00:00:00",8.1123999999999996e+03,8.2000000000000000e+01,1.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",19,1,,"04/27/23 00:00:00","04/28/23 00:00:00",6.6760000000000005e+01,2.0000000000000000e+00,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",20,1,,"04/27/23 00:00:00","05/10/23 00:00:00",4.0581999999999999e+02,1.0000000000000000e+01,4.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",21,1,,"04/27/23 00:00:00","05/02/23 00:00:00",1.3353000000000000e+02,4.0000000000000000e+00,3.7500000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",22,1,,"04/27/23 00:00:00","06/19/23 00:00:00",1.1127300000000000e+03,3.8000000000000000e+01,3.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",23,1,,"04/27/23 00:00:00","05/18/23 00:00:00",4.8000000000000000e+01,1.6000000000000000e+01,3.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",24,1,,"04/27/23 00:00:00","04/28/23 00:00:00",1.2000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",25,1,,"04/27/23 00:00:00","05/03/23 00:00:00",1.4000000000000000e+01,5.0000000000000000e+00,3.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",9,1,,"04/27/23 00:00:00","04/29/23 00:00:00",1.1200000000000000e+04,2.9500000000000002e+00,3.8000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",26,1,,"04/27/23 00:00:00","05/05/23 00:00:00",1.3090000000000000e+01,7.0000000000000000e+00,2.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",27,1,,"04/27/23 00:00:00","05/01/23 00:00:00",1.4000000000000000e+01,3.0000000000000000e+00,5.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",28,1,,"04/27/23 00:00:00","05/02/23 00:00:00",1.1127300000000000e+03,4.0000000000000000e+00,3.3500000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",29,1,,"04/27/23 00:00:00","05/05/23 00:00:00",4.0057999999999998e+02,7.0000000000000000e+00,6.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",30,1,,"04/27/23 00:00:00","04/28/23 00:00:00",6.6760000000000005e+01,2.0000000000000000e+00,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",31,1,,"04/27/23 00:00:00","05/12/23 00:00:00",1.1127300000000000e+03,1.2000000000000000e+01,1.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",32,1,,"04/27/23 00:00:00","05/04/23 00:00:00",5.2000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",33,1,,"04/27/23 00:00:00","05/04/23 00:00:00",5.2000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",34,1,,"04/27/23 00:00:00","07/03/23 00:00:00",5.7600000000000000e+02,4.8000000000000000e+01,1.2000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",35,1,,"04/27/23 00:00:00","05/01/23 00:00:00",1.3000000000000000e+01,3.0000000000000000e+00,6.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",36,1,,"04/27/23 00:00:00","04/28/23 00:00:00",1.4000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",37,1,,"04/27/23 00:00:00","05/22/23 00:00:00",5.2000000000000000e+01,1.8000000000000000e+01,3.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",38,1,,"04/27/23 00:00:00","04/27/23 00:00:00",8.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",39,1,,"04/27/23 00:00:00","04/28/23 00:00:00",2.6000000000000000e+01,2.0000000000000000e+00,2.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",40,1,,"04/27/23 00:00:00","04/27/23 00:00:00",2.0000000000000000e+01,1.0000000000000000e+00,2.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",41,1,,"04/27/23 00:00:00","05/11/23 00:00:00",4.3200000000000000e+02,1.1000000000000000e+01,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",42,1,,"04/27/23 00:00:00","05/08/23 00:00:00",2.4000000000000000e+01,8.0000000000000000e+00,3.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",43,1,,"04/27/23 00:00:00","05/17/23 00:00:00",7.8546000000000004e+02,1.5000000000000000e+01,5.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",44,1,,"04/27/23 00:00:00","05/03/23 00:00:00",5.8909000000000003e+02,5.0000000000000000e+00,1.2000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",45,1,,"04/27/23 00:00:00","05/12/23 00:00:00",2.4000000000000000e+01,1.2000000000000000e+01,2.0000000000000000e+00,0,0.0000000000000000e+00
"576PDVS2",46,1,,"04/27/23 00:00:00","05/12/23 00:00:00",2.4000000000000000e+01,1.2000000000000000e+01,2.0000000000000000e+00,0,0.0000000000000000e+00
