CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0002544","EQUI0275",4.0000000000000000e+00,1.0000000000000000e-02,30306,
"P0002544","EQUI0073",4.0000000000000000e+00,1.0000000000000000e-02,30307,
"P0002544","EQUI0181",1.0000000000000000e+01,3.5000000000000001e-03,30308,
"P0002544","EQUI0335",1.0000000000000000e+01,1.0000000000000000e-02,30309,
"P0002673","EQUI0285",2.0000000000000000e+00,1.0000000000000000e-02,30310,
"P0002673","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30311,
"P0002673","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30312,
"P0002673","EQUI0078",1.0000000000000000e+00,5.0000000000000001e-03,30313,
"P0002674","EQUI0285",2.0000000000000000e+00,1.0000000000000000e-02,30314,
"P0002674","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30315,
"P0002674","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30316,
"P0002674","EQUI0078",1.0000000000000000e+00,5.0000000000000001e-03,30317,
"P0002930","EQUIP",1.0000000000000000e+00,1.0000000000000000e+00,30318,
"P0002986","EQUI0351",3.0000000000000000e+00,1.0000000000000000e-02,30319,
"P0002986","EQUI0116",3.0000000000000000e+00,1.0000000000000000e-02,30320,
"P0002986","EQUI0275",3.0000000000000000e+00,1.0000000000000000e-02,30321,
"P0002986","EQUI0073",3.0000000000000000e+00,1.0000000000000000e-02,30322,
"P0002986","EQUI0335",3.0000000000000000e+00,1.0000000000000000e-02,30324,
"P0002986","EQUI0233",6.0000000000000000e+00,1.0000000000000000e-02,30325,
"P0002986","EQUI0114",3.0000000000000000e+00,1.0000000000000000e-02,30326,
"P0002986","EQUI0061",3.0000000000000000e+00,3.5000000000000001e-03,30327,
"P0003174","EQUI0279",5.0000000000000000e+00,1.0000000000000000e-02,30328,
"P0003174","EQUI0069",2.0000000000000000e+00,1.0000000000000000e-02,30329,
"P0003174","EQUI0061",2.0000000000000000e+00,3.5000000000000001e-03,30330,
"P0003174","BOMCON",1.0000000000000000e+00,3.0000000000000001e-03,30331,
"P0003174","FIORI",1.0000000000000000e+00,1.0000000000000000e+00,30332,
"P0003198","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30333,
"P0003198","EQUI0279",2.0000000000000000e+00,1.0000000000000000e-02,30334,
"P0003198","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30335,
"P0003576","EQUI0310",1.0000000000000000e+00,1.0000000000000000e+00,30336,
"P0003576","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30337,
"P0003576","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30338,
"P0003576","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30339,
"P0003576","EQUI0019",1.0000000000000000e+00,1.0000000000000000e+00,30340,
"P0003606","PLO012",1.0000000000000000e+00,1.0000000000000000e+00,30341,
"P0003641","PLO012",1.0000000000000000e+00,1.0000000000000000e+00,30342,
"P0003820","EQUI0001",1.0000000000000000e+00,1.0000000000000000e-02,30343,
"P0003820","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30344,
"P0003820","EQUI0031",2.5000000000000000e-01,1.0000000000000000e+00,30345,
"P0003820","EQUI0229",2.0000000000000000e+00,1.0000000000000000e-02,30346,
"P0003820","EQUI0342",1.0000000000000000e+00,1.0000000000000000e-02,30347,
"P0003821","EQUI0001",1.0000000000000000e+00,1.0000000000000000e-02,30348,
"P0003821","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30349,
"P0003897","EQUI0031",1.0000000000000001e-01,1.0000000000000000e+00,30353,
"P0003897","EQUI0023",2.0000000000000000e+00,1.0000000000000000e-02,30354,
"P0003897","EQUI0173",1.0000000000000000e+00,1.0000000000000000e-02,30355,
"P0003897","EQUI0183",1.0000000000000000e+00,1.0000000000000000e-02,30356,
"P0003897","EQUI0175",1.0000000000000000e+00,5.0000000000000001e-03,30357,
"P0003997","EQUI0118",1.0000000000000000e+00,1.0000000000000000e+00,30365,
"P0003997","EQUI0228",1.0000000000000000e+00,1.0000000000000000e+00,30366,
"LAI490","MED010",1.0000000000000000e+00,5.0000000000000003e-02,30030,
"LAI490","MED008",1.0000000000000000e+00,6.0000000000000001e-03,30031,
"P0003821","EQUI0031",2.5000000000000000e-01,1.0000000000000000e+00,30350,
"P0003821","EQUI0229",2.0000000000000000e+00,1.0000000000000000e-02,30351,
"P0004757","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30367,
"P0004757","EQUI0279",2.0000000000000000e+00,1.0000000000000000e-02,30368,
"P0004757","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30369,
"P0004757","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30370,
"P0004757","EQUI0061",2.0000000000000000e+00,3.5000000000000001e-03,30371,
"P0004769","EQUI0259",1.0000000000000000e+00,1.0000000000000000e+00,30372,
"P0004769","EQUI0279",4.0000000000000000e+00,1.0000000000000000e-02,30373,
"P0004769","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30374,
"P0004769","EQUI0063",3.0000000000000000e+00,3.5500000000000002e-03,30375,
"P0004769","EQUI0361",2.0000000000000000e+00,3.0000000000000001e-03,30376,
"P0004769","EQUI0051",1.0000000000000000e+00,1.0000000000000000e+00,30377,
"P0005133","EQUI0285",1.0000000000000000e+00,1.0000000000000000e-02,30378,
"P0005133","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30379,
"P0005133","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30380,
"P0005133","EQUI0175",2.0000000000000000e+00,5.0000000000000001e-03,30381,
"P0005133","EQUI0363",1.0000000000000000e+00,3.0000000000000001e-03,30382,
"P0005222","EQUI0138",1.0000000000000000e+00,8.3599999999999994e-02,30383,
"P0005222","EQUI0142",1.0000000000000000e+00,1.0000000000000000e+00,30384,
"P0005222","EQUI0342",1.0000000000000000e+00,1.0000000000000000e-02,30385,
"P0005222","EQUI0173",1.0000000000000000e+00,1.0000000000000000e-02,30386,
"P0005222","EQUI0053",1.0000000000000000e+00,1.0000000000000000e-02,30387,
"P0005222","EQUI0203",1.0000000000000000e+00,1.0000000000000000e-02,30388,
"P0005222","EQUI0114",1.0000000000000000e+00,1.0000000000000000e-02,30389,
"P0005708","EQUI0031",1.0000000000000001e-01,1.0000000000000000e+00,30393,
"P0005708","EQUI0172",1.0000000000000000e+00,1.0000000000000000e+00,30394,
"P0005708","EQUI0342",1.0000000000000000e+00,1.0000000000000000e-02,30395,
"P0005708","EQUI0219",1.0000000000000000e+00,1.0000000000000000e-02,30396,
"P0005708","EQUI0001",1.0000000000000000e+00,1.0000000000000000e-02,30397,
"P0005722","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30398,
"P0005722","EQUI0279",2.0000000000000000e+00,1.0000000000000000e-02,30399,
"P0005722","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30400,
"P0005841","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30407,
"P0005841","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30408,
"P0005841","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30409,
"LAI490","MED009",1.0000000000000000e+00,1.0000000000000000e-02,30032,
"LAI490","MED016",1.0000000000000000e+00,1.0000000000000000e+00,30033,
"LAI499","ALB133",1.0000000000000000e+00,8.0000000000000002e-03,30034,
