CodPar,CodIns,CanIns,Contad,CodAlt
"P0000176","MANO0057",1.0000000000000000e+00,24013,
"P0000645","MANO0056",4.0000000000000000e+00,24020,
"P0000645","MANO0005",4.0000000000000000e+00,24021,
"P0000645","MANO0010",1.0000000000000000e+00,24022,
"P0000645","MANO0009",3.0000000000000000e+00,24023,
"P0000645","MANO0039",1.0000000000000000e+00,24024,
"P0000648","MANO0056",4.0000000000000000e+00,24030,
"P0000648","MANO0005",4.0000000000000000e+00,24031,
"P0000648","MANO0010",1.0000000000000000e+00,24032,
"P0000648","MANO0009",3.0000000000000000e+00,24033,
"P0000726","MANO0056",2.4000000000000000e+01,24044,
"P0000726","MANO0005",6.0000000000000000e+00,24045,
"P0000726","MANO0001",1.0000000000000000e+01,24046,
"P0000726","MANO0043",3.0000000000000000e+00,24047,
"P0002930","MANO0072",1.0000000000000000e+00,24176,
"P0005708","MANO0005",3.0000000000000000e+00,24240,
"P0005708","MANO0045",1.0000000000000001e-01,24241,
"P0005708","MANO0018",1.0000000000000001e-01,24242,
"P0005708","MANO0038",2.0000000000000000e+00,24243,
"P0005722","MANO0056",2.0000000000000000e+00,24244,
"P0005722","MANO0001",1.0000000000000000e+00,24245,
"P0005722","MANO0043",2.5000000000000000e-01,24246,
"P0005841","MANO0072",2.0000000000000000e+00,24253,
"P0005841","MANO0050",5.0000000000000000e-01,24254,
"LAI490","DTC003",1.0000000000000000e+00,23973,
"LAI490","MANO0056",2.0000000000000000e+00,23974,
"LAI490","MANO0005",1.0000000000000000e+00,23975,
"LAI499","MANO0057",1.0000000000000000e+00,23976,
"LAI499","MANO0042",2.5000000000000000e-01,23977,
"LAI530","MANO0042",2.5000000000000000e-01,23979,
"LAI530","MANO0072",1.0000000000000000e+00,23980,
"LAI530","MANO0001",1.0000000000000000e+00,23981,
"LAI530","MANO0056",4.0000000000000000e+00,23982,
"LAI530","MANO0019",2.5000000000000000e-01,23983,
"LIC006","MANO0056",1.0000000000000000e+00,23987,
"LIC006","MANO0072",1.0000000000000000e+00,23988,
"LIC006","MANO0005",2.0000000000000000e+00,23989,
"P0000696","MANO0005",1.0000000000000000e+00,24041,
"P0000696","MANO0001",3.0000000000000000e+00,24042,
"P0000696","MANO0043",2.5000000000000000e-01,24043,
"P0000726","MANO0059",3.0000000000000000e+00,24048,
"P0000738","MANO0056",8.0000000000000000e+00,24055,
"P0000738","MANO0005",1.0000000000000000e+01,24056,
"P0000738","MANO0001",1.0000000000000000e+01,24057,
"P0000738","MANO0043",3.0000000000000000e+00,24058,
"P0000738","MANO0059",3.0000000000000000e+00,24059,
"P0000822","MANO0056",5.0000000000000000e+00,24060,
"P0000822","MANO0005",1.0000000000000000e+00,24061,
"P0000822","MANO0032",2.0000000000000000e+00,24062,
"P0000822","MANO0047",1.0000000000000000e+00,24063,
"P0000849","MANO0056",1.0000000000000000e+01,24064,
"P0001367","MANO0056",1.2000000000000000e+01,24149,
"P0001367","MANO0005",4.0000000000000000e+00,24150,
"P0001367","MANO0001",4.0000000000000000e+00,24151,
"P0001367","MANO0043",2.0000000000000000e+00,24152,
"P0001367","MANO0051",5.0000000000000000e+00,24153,
"P0002930","MANO0056",2.0000000000000000e+00,24177,
"P0005853","MANO0007",2.0000000000000000e+00,24260,
"P0005853","MANO0077",2.0000000000000000e+00,24261,
"P0005853","MANO0012",2.5000000000000000e-01,24262,
"P0005858","MANO0042",1.0000000000000000e+00,24263,
"P0005858","MANO0021",3.0000000000000000e+00,24264,
"P0005858","MANO0019",4.0000000000000002e-01,24265,
"P0005858","MANO0007",2.0000000000000000e+00,24266,
"P0005858","MANO0059",1.0000000000000000e+00,24267,
"P0005858","MANO0028",4.0000000000000002e-01,24268,
"UP333","MANO0056",3.0000000000000000e+00,24336,
"UP333","MANO0057",2.5000000000000000e-01,24337,
"UP333","MANO0050",1.0000000000000000e+00,24338,
"P0000849","MANO0005",8.0000000000000000e+00,24065,
"P0000849","MANO0001",8.0000000000000000e+00,24066,
"P0000849","MANO0043",1.0000000000000000e+00,24067,
"P0000855","MANO0056",8.0000000000000000e+00,24068,
"P0000855","MANO0013",1.5000000000000000e+01,24069,
"P0000855","MANO0041",2.5000000000000000e-01,24070,
"P0000896","MANO0005",1.0000000000000000e+01,24071,
"P0000896","MANO0071",1.2000000000000000e+01,24072,
"P0000896","MANO0070",1.2000000000000000e+01,24073,
"P0000896","MANO0049",1.0000000000000000e+00,24074,
"P0000904","MANO0005",5.0000000000000000e+01,24075,
"P0000904","MANO0070",5.0000000000000000e+01,24076,
"P0000904","MANO0049",3.0000000000000000e+00,24077,
"P0000909","MANO0005",8.0000000000000000e+00,24078,
"P0000909","MANO0013",8.0000000000000000e+00,24079,
"P0000930","MANO0056",1.0000000000000000e+00,24080,
"P0000930","MANO0005",1.0000000000000000e+00,24081,
"P0000930","MANO0026",1.0000000000000000e+00,24082,
"P0000930","MANO0045",5.0000000000000000e-01,24083,
"P0000935","MANO0056",3.0000000000000000e+00,24084,
"P0000935","MANO0005",3.0000000000000000e+00,24085,
"P0000935","MANO0026",3.0000000000000000e+00,24086,
"P0000935","MANO0045",1.0000000000000000e+00,24087,
"P0000936","MANO0056",3.0000000000000000e+00,24088,
"P0000936","MANO0005",3.0000000000000000e+00,24089,
"P0000936","MANO0026",3.0000000000000000e+00,24090,
"P0001013","MANO0005",1.0000000000000000e+00,24092,
"P0001013","MANO0026",1.0000000000000000e+00,24093,
"P0001013","MANO0045",1.0000000000000001e-01,24094,
"P0002544","MANO0043",5.0000000000000000e-01,24165,
"P0002544","MANO0055",1.0000000000000000e+01,24166,
"P0002544","MANO0056",1.0000000000000000e+01,24167,
"P0002673","MANO0056",5.0000000000000000e+00,24168,
"P0002673","MANO0005",5.0000000000000000e+00,24169,
"P0002673","MANO0026",1.0000000000000000e+01,24170,
"P0002673","MANO0045",1.0000000000000000e+00,24171,
"P0002986","MANO0005",1.0000000000000000e+01,24178,
"P0002986","MANO0072",1.0000000000000000e+01,24179,
"P0002986","MANO0050",3.0000000000000000e+00,24180,
"P0003198","MANO0056",2.0000000000000000e+00,24186,
"P0003198","MANO0005",1.0000000000000000e+00,24187,
"P0003198","MANO0001",1.0000000000000000e+00,24188,
"P0003198","MANO0043",2.5000000000000000e-01,24189,
"P0003576","MANO0056",2.0000000000000000e+00,24190,
"P0003576","MANO0005",1.0000000000000000e+00,24191,
"P0003576","MANO0072",1.0000000000000000e+00,24192,
"P0003576","MANO0050",2.5000000000000000e-01,24193,
"P0003820","MANO0005",3.0000000000000000e+00,24198,
"P0003820","MANO0045",1.0000000000000001e-01,24199,
"P0003820","MANO0018",2.5000000000000000e-01,24200,
"P0003820","MANO0038",2.0000000000000000e+00,24201,
"P0003897","MANO0005",2.0000000000000000e+00,24206,
"P0003897","MANO0070",2.0000000000000000e+00,24207,
"P0003897","MANO0049",1.0000000000000001e-01,24208,
"P0003897","MANO0018",1.0000000000000001e-01,24209,
"P0003997","MANO0021",2.0000000000000000e+00,24214,
"P0003997","MANO0007",3.0000000000000000e+00,24215,
"P0003997","MANO0018",1.0000000000000000e+00,24216,
"P0004757","MANO0056",2.0000000000000000e+00,24217,
"P0004757","MANO0001",1.0000000000000000e+00,24218,
"P0004757","MANO0043",2.5000000000000000e-01,24219,
"P0004769","MANO0056",6.0000000000000000e+00,24220,
"P0004769","MANO0005",2.0000000000000000e+00,24221,
"P0004769","MANO0001",1.0000000000000000e+00,24222,
"P0004769","MANO0043",1.0000000000000000e+00,24223,
"P0004769","MANO0051",1.0000000000000000e+00,24224,
"P0004769","MANO0021",1.0000000000000000e+00,24225,
"P0005133","MANO0005",1.0000000000000000e+00,24227,
"P0005133","MANO0026",1.0000000000000000e+00,24228,
"P0005133","MANO0045",2.5000000000000000e-01,24229,
"P0005222","MANO0056",2.0000000000000000e+00,24230,
"LAI531","DTC003",1.0000000000000000e+00,23984,
"LAI531","MANO0008",1.0000000000000000e+00,23985,
"P0003641","MANO0056",1.0000000000000000e+00,24196,
"P0003641","MANO0072",1.0000000000000000e+00,24197,
"P0005222","MANO0001",1.0000000000000000e+00,24231,
"P0005222","MANO0074",1.0000000000000000e+00,24232,
"P0005222","MANO0044",2.5000000000000000e-01,24233,
"P0005453","MANO0056",1.0000000000000000e+00,24238,
"P0005861","MANO0005",3.0000000000000000e+00,24269,
"P0005861","MANO0045",1.0000000000000000e+00,24270,
"P0005861","MANO0018",2.5100000000000000e-01,24271,
"P0005861","MANO0038",2.0000000000000000e+00,24272,
"P0005862","MANO0059",1.0000000000000000e+00,24273,
"P0005862","MANO0056",2.0000000000000000e+00,24274,
"P0005862","MANO0005",4.0000000000000000e+00,24275,
"P0005862","MANO0055",2.0000000000000000e+00,24276,
"P0005864","MANO0005",3.0000000000000000e+00,24277,
"P0005864","MANO0045",1.0000000000000001e-01,24278,
"P0005864","MANO0018",1.0000000000000001e-01,24279,
"P0005864","MANO0038",2.0000000000000000e+00,24280,
"P0005865","MANO0005",3.0000000000000000e+00,24281,
"P0005865","MANO0045",1.0000000000000001e-01,24282,
"P0005865","MANO0018",1.0000000000000001e-01,24283,
"P0005865","MANO0038",2.0000000000000000e+00,24284,
"P0005866","MANO0005",3.0000000000000000e+00,24285,
"P0005866","MANO0045",1.0000000000000001e-01,24286,
"P0005866","MANO0018",1.0000000000000001e-01,24287,
"P0005866","MANO0038",2.0000000000000000e+00,24288,
"P0005868","MANO0005",4.0000000000000000e+00,24289,
"P0005868","MANO0045",1.0000000000000000e+00,24290,
"P0005868","MANO0018",5.0000000000000000e-01,24291,
"P0005868","MANO0038",2.0000000000000000e+00,24292,
"P0005888","MANO0056",4.0000000000000000e+00,24297,
"P0005888","MANO0005",1.0000000000000000e+00,24298,
"P0005888","MANO0074",1.0000000000000000e+00,24299,
"P0005888","MANO0009",1.0000000000000000e+00,24300,
"P0005893","MANO0005",1.0000000000000000e+00,24301,
"P0005893","MANO0045",1.0000000000000001e-01,24302,
"P0005893","MANO0020",1.0000000000000001e-01,24303,
"P0005893","MANO0001",4.0000000000000000e+00,24304,
"P0005894","MANO0045",5.0000000000000000e-01,24305,
"P0005894","MANO0005",1.0000000000000000e+00,24306,
"P0005894","MANO0026",1.0000000000000000e+00,24307,
"P0005895","MANO0005",3.0000000000000000e+00,24308,
"P0005895","MANO0045",1.0000000000000001e-01,24309,
"P0005895","MANO0018",2.0000000000000001e-01,24310,
"P0005895","MANO0038",2.0000000000000000e+00,24311,
"P0005896","MANO0005",3.0000000000000000e+00,24312,
"P0005896","MANO0045",1.0000000000000000e+00,24313,
"EDF-0901","MANO0056",8.0000000000000000e+00,23953,
