CodPar,CodIns,CanIns,Desper,Contad,CodAlt
"ALBAÑ28","*AGREG11",1.0000000000000000e+00,0.0000000000000000e+00,20357,
"ALBAÑ28","CERAMICA",1.0000000000000000e+00,0.0000000000000000e+00,20358,
"HERRE20","PUERTA D",1.0000000000000000e+00,0.0000000000000000e+00,20363,
"HERRE20","CERRA",1.0000000000000000e+00,0.0000000000000000e+00,20364,
"*OBREX33","*AGUA",1.6000000000000000e-01,0.0000000000000000e+00,20365,
"*OBREX33","*AGREG03",5.9999999999999998e-01,0.0000000000000000e+00,20366,
"*OBREX33","*AGREG01",7.0000000000000000e+00,0.0000000000000000e+00,20367,
"*OBREX33","*AGREG02",5.9999999999999998e-01,0.0000000000000000e+00,20368,
"*OBREX30","*AGREG01",7.0000000000000000e+00,0.0000000000000000e+00,20369,
"*OBREX30","*AGREG02",5.9999999999999998e-01,0.0000000000000000e+00,20370,
"*OBREX30","*AGREG03",5.9999999999999998e-01,0.0000000000000000e+00,20371,
"*OBREX30","*AGUA",1.6000000000000000e-01,0.0000000000000000e+00,20372,
"OBREX30","*TIERRAA",1.0000000000000001e-01,0.0000000000000000e+00,20378,
"OBREX30","*AGUA",5.0000000000000000e-01,0.0000000000000000e+00,20379,
"OBREX30","ARBUS",1.0000000000000000e+00,0.0000000000000000e+00,20380,
"P0002330","MATE0578",1.4999999999999999e-01,0.0000000000000000e+00,20381,
"P0002330","CONTRAE",1.1000000000000001e+00,5.0000000000000000e+00,20382,
"P0000905","MATE1392",5.5000000000000000e-02,0.0000000000000000e+00,20673,
"P0000905","MATE1167",6.5000000000000002e-02,0.0000000000000000e+00,20674,
"P0000905","MATE1318",2.0000000000000000e-02,0.0000000000000000e+00,20675,
"P0001329","MATE0525",7.0000000000000007e-02,0.0000000000000000e+00,20676,
"P0001329","MATE0183",1.0000000000000000e+00,0.0000000000000000e+00,20677,
"P0001329","MATE1203",2.0000000000000000e+00,0.0000000000000000e+00,20678,
"P0001329","MATE0516",2.0000000000000000e+00,0.0000000000000000e+00,20679,
"P0001329","MATE0805",1.0000000000000000e+00,0.0000000000000000e+00,20680,
"P0001329","MATE1043",1.0000000000000000e+00,0.0000000000000000e+00,20681,
"P0001329","MATE1760",4.8599999999999999e-01,0.0000000000000000e+00,20682,
"P0001329","TRAN0406",1.0000000000000000e+00,0.0000000000000000e+00,20683,
"P0001329","MATE1011",1.0000000000000000e+00,0.0000000000000000e+00,20684,
"P0001329","MATE1594",1.0000000000000000e+00,0.0000000000000000e+00,20685,
"P0001329","MATE1580",3.0000000000000000e+00,0.0000000000000000e+00,20686,
"P0001330","MATE0183",1.0000000000000000e+00,0.0000000000000000e+00,20688,
"P0001330","MATE1203",1.0000000000000000e+00,0.0000000000000000e+00,20689,
"P0001330","MATE0516",2.0000000000000000e+00,0.0000000000000000e+00,20690,
"P0001330","MATE0805",1.0000000000000000e+00,0.0000000000000000e+00,20691,
"P0001330","MATE1043",1.0000000000000000e+00,0.0000000000000000e+00,20692,
"P0001330","MATE1760",1.0000000000000001e-01,0.0000000000000000e+00,20693,
"P0001330","MATE1011",1.0000000000000000e+00,0.0000000000000000e+00,20695,
"P0001330","MATE1594",1.0000000000000000e+00,0.0000000000000000e+00,20696,
"P0001330","MATE1580",3.0000000000000000e+00,0.0000000000000000e+00,20697,
"CARPI08","MUEBLE",1.0000000000000000e+00,0.0000000000000000e+00,20699,
"CARPI10","MUEBLE",1.0000000000000000e+00,0.0000000000000000e+00,20701,
"CARPI09","CLOSET",1.0000000000000000e+00,0.0000000000000000e+00,20702,
"COCINA","COCINA",1.0000000000000000e+00,0.0000000000000000e+00,20705,
"COCINA1","NEVERA",1.0000000000000000e+00,0.0000000000000000e+00,20707,
"*ALBAÑ52","AGR001",1.4999999999999999e-02,0.0000000000000000e+00,20020,
"*ALBAÑ52","CEM010",4.0000000000000002e-01,5.0000000000000000e+00,20021,
"*ALBAÑ52","MATE0231",4.0000000000000001e-02,0.0000000000000000e+00,20023,
"*ARMRE07","*ACERO03",1.0000000000000000e+00,1.0000000000000000e+01,20024,
"*ARMRE07","*ACERO10",1.0000000000000000e-02,0.0000000000000000e+00,20025,
"*CABLE28","*CABLE11",1.0000000000000000e+00,0.0000000000000000e+00,20026,
"*CABLE28","*MATEIE1",1.0000000000000000e-03,0.0000000000000000e+00,20027,
"BREAKER","BREAKER3",1.0000000000000000e+00,0.0000000000000000e+00,20028,
"BREAKER","MATE1577",1.2000000000000000e-02,0.0000000000000000e+00,20029,
"CALBRE3","MATE1577",1.0000000000000000e-02,0.0000000000000000e+00,20031,
"CALBRE3","CABLE 3",1.0000000000000000e+00,0.0000000000000000e+00,20032,
"EDF-0901","PUER",1.0000000000000000e+00,0.0000000000000000e+00,20034,
"EDF-9004","MATE0413",1.0000000000000000e+00,5.0000000000000000e+00,20035,
"EDF-9004","MATE0102",1.0000000000000000e-02,5.0000000000000000e+00,20036,
"ESTRUC27","MATE1007",5.0000000000000001e-04,0.0000000000000000e+00,20037,
"ESTRUC27","MATE0932",1.4999999999999999e-02,0.0000000000000000e+00,20038,
"ESTRUC27","MATE0859",5.0000000000000001e-03,0.0000000000000000e+00,20039,
"ESTRUC27","MATE0943",1.0000000000000000e+00,0.0000000000000000e+00,20040,
"ESTRUC27","ESTRUC",1.0000000000000000e+00,0.0000000000000000e+00,20041,
"FEFF","SECCION",6.9999999999999996e-01,0.0000000000000000e+00,20042,
"LAI490","CEM002",1.0000000000000000e-02,5.0000000000000000e+00,20044,
"LAI490","PIN188",2.0000000000000000e-02,5.0000000000000000e+00,20045,
"LAI499","APA008",1.0000000000000000e+00,0.0000000000000000e+00,20046,
"LAI499","MATE1384",1.0000000000000000e+00,5.0000000000000000e+00,20047,
"LAI530","MT3549",1.0000000000000000e+00,2.0000000000000000e+00,20048,
"LAI530","COC083",1.0000000000000000e+00,2.0000000000000000e+00,20049,
"LAI530","CEM010",5.0000000000000000e+00,5.0000000000000000e+00,20050,
"LAI530","AGR033",4.0000000000000002e-01,5.0000000000000000e+00,20051,
"LAI530","AGR001",5.0000000000000000e-01,0.0000000000000000e+00,20052,
"LAI530","TUBOPVC",1.0000000000000000e+01,0.0000000000000000e+00,20053,
"LAI530","TAPA",1.0000000000000000e+00,0.0000000000000000e+00,20054,
"LAI531","CEM002",1.0000000000000000e-02,5.0000000000000000e+00,20055,
"LAI531","PIN188",1.0000000000000000e-02,5.0000000000000000e+00,20056,
"LIC006","TUBERIA",1.0000000000000000e+01,0.0000000000000000e+00,20057,
"LIC006","LLAVE DE",1.0000000000000000e+00,0.0000000000000000e+00,20058,
"P0000035","MATE0415",2.0000000000000001e-01,0.0000000000000000e+00,20059,
"P0000173","MATE0083",1.0000000000000001e-01,0.0000000000000000e+00,20060,
"P0000176","MATE1384",1.0000000000000000e+00,0.0000000000000000e+00,20061,
"P0000211","MATE0231",2.5000000000000000e-01,0.0000000000000000e+00,20062,
"P0000211","MATE0083",2.0999999999999999e-01,0.0000000000000000e+00,20063,
"P0000211","MATE1384",9.4499999999999995e-01,0.0000000000000000e+00,20064,
"P0000211","CEM010",8.0000000000000000e+00,0.0000000000000000e+00,20065,
"P0001367","MATE0123",8.0000000000000000e+00,0.0000000000000000e+00,20359,
"*ALBAÑ52","ARROCILL",3.7999999999999999e-02,0.0000000000000000e+00,20672,
"P0000645","MATE0103",5.5000000000000004e-01,0.0000000000000000e+00,20067,
"P0000645","MATE0415",5.5000000000000004e-01,0.0000000000000000e+00,20068,
"P0000645","MATE0102",5.0000000000000001e-03,0.0000000000000000e+00,20069,
"P0000647","MATE0103",5.0000000000000003e-02,0.0000000000000000e+00,20070,
"P0000648","MATE0102",5.0000000000000001e-03,0.0000000000000000e+00,20073,
"P0000648","MALLAS",1.1000000000000001e+00,0.0000000000000000e+00,20074,
"P0000696","CEM010",3.4000000000000002e-01,5.0000000000000000e+00,20077,
"P0000696","MATE0507",3.4000000000000002e-02,0.0000000000000000e+00,20078,
