Tipo,Material: Nombre,Recuento,Material: Volumen,Material: Área
,,,,
0762 x 2134mm,Door - Frame,288,1.46 m³,263.40 m²
0762 x 2134mm,Door - Panel,288,23.88 m³,1021.71 m²
0813 x 2134mm,Door - Frame,432,2.21 m³,399.07 m²
0813 x 2134mm,Door - Panel,432,38.22 m³,1628.85 m²
0915 x 2134mm,Door - Panel,144,15.09 m³,742.80 m²
ACERA DE CALLE E=10 CM,CONCRETO EN CALLE,3,11.51 m³,115.14 m²
CALLE E=10 CM,CONCRETO EN CALLE,1,138.85 m³,1388.47 m²
Cook_Top_10077,01 crhome,144,0.07 m³,14.57 m²
Cook_Top_10077,branco,144,0.01 m³,1.97 m²
Cook_Top_10077,preto,144,0.68 m³,94.56 m²
DESCANSO ESCALERAS,CONCRETO 210,8,0.57 m³,11.31 m²
ESCALONES ESCALERAS,CONCRETO 210,104,1.84 m³,36.82 m²
Lavamano sencillo,DAREX,289,3.51 m³,254.83 m²
Lavamano sencillo,Metal - Steel Polished,289,0.03 m³,7.23 m²
LOSA DE FUNDACION E 20 CM,CONCRETO 210,4,21.61 m³,108.04 m²
LOSA DE FUNDACION E 30 CM,CONCRETO 210,8,1096.46 m³,3654.85 m²
LOSA DE FUNDACION E 30 CM,Pintura Blanca,8,0.00 m³,3654.85 m²
LOSA ENTREPISO E 12 CM,CONCRETO 210,16,857.07 m³,7142.21 m²
LOSA ENTREPISO E 12 CM,MEZCLILLA,16,142.84 m³,7142.21 m²
LOSA ENTREPISO E 12 CM,Pintura Blanca,32,14.28 m³,7215.83 m²
LOSA ENTREPISO E 12 CM EN TECHO,CONCRETO 210,8,426.84 m³,3556.96 m²
LOSA ENTREPISO E 12 CM EN TECHO,MEZCLILLA,8,71.14 m³,3556.96 m²
LOSA ENTREPISO E 12 CM EN TECHO,Pintura Blanca,16,7.11 m³,3581.14 m²
LOSA ENTREPISO ESCALERA,Chapa grecada,8,0.00 m³,39.31 m²
LOSA ENTREPISO ESCALERA,CONCRETO EN LOSACERO,8,3.14 m³,39.31 m²
MURO DE CONCRETO EXT. 10 CM,CONCRETO 210,720,579.71 m³,5797.99 m²
MURO DE CONCRETO EXT. 10 CM,MEZCLILLA,720,231.88 m³,11594.99 m²
MURO DE CONCRETO EXT. 10 CM,Pintura Blanca,728,23.19 m³,11597.57 m²
MURO DE CONCRETO INT. 10 CM,CONCRETO 210,1080,981.75 m³,9817.31 m²
MURO DE CONCRETO INT. 10 CM,MEZCLILLA,1080,392.70 m³,19631.31 m²
MURO DE CONCRETO INT. 10 CM,Pintura Blanca,1080,39.27 m³,19630.57 m²
Pared de Bloque e=10 cm en Ductos,BLOQUE DE CONCRETO DE 10,352,53.25 m³,532.46 m²
Pared de Bloque e=10 cm en Ductos,DAREX,352,1.06 m³,532.46 m²
Pared de Bloque e=10 cm en Ductos,MEZCLILLA,352,10.65 m³,532.46 m²
Pared de Bloque e=15 cm en Corniza,BLOQUE DE CONCRETO DE 10,272,33.89 m³,225.94 m²
Pared de Bloque e=15 cm en Corniza,MEZCLILLA,272,9.04 m³,451.89 m²
Pared de Bloque e=15 cm en Corniza,Pintura Blanca,272,0.90 m³,451.89 m²
REFRIGERADOR 660 x 760mm,Metal - Chrome,144,0.08 m³,10.90 m²
REFRIGERADOR 660 x 760mm,Metal - Paint Finish - Ivory Matte,144,58.94 m³,1660.73 m²
SOBREPISO 7 CM,CONCRETO EN PENDIENTE,384,672.48 m³,9606.89 m²
TOPE COCINA 600mm,Counter Top,144,9.75 m³,570.82 m²
TUB 200X200,Metal - Steel - 345 MPa,16,0.21 m³,94.69 m²
VENTANA 1.00 x 1.15 mm,Glass,576,6.19 m³,1057.25 m²
VENTANA 1.00 x 1.15 mm,Metal - Aluminum,576,13.57 m³,1344.78 m²
VIGA 200X70,Metal - Steel - 345 MPa,92,0.45 m³,199.11 m²
W.C.,DAREX,281,8.08 m³,903.39 m²
W.C.,Laminate - Linen Matte,281,0.71 m³,155.72 m²
